model_name,num_samples,relative_error
gpt-4,20,26.820373062015502
gpt-4,38,18.376244861404743
gpt-4,56,15.125610784493094
gpt-4,75,12.88440842340394
gpt-4,93,11.45162188691547
gpt-4,111,9.672931944886738
gpt-4,130,9.243094715770793
gpt-4,148,8.70395641127342
gpt-4,166,8.10660375077696
gpt-4,185,7.772270168047542
gpt-4,203,7.216379270163066
gpt-4,221,6.751263343603058
gpt-4,240,6.673224878297452
gpt-4,258,6.341641190777742
gpt-4,276,6.297995946612357
gpt-4,295,5.983747497430869
gpt-4,313,5.4714073159919385
gpt-4,331,5.448738722263132
gpt-4,350,5.209128111727785
