data_entry,gpt_label,gold_label,gpt_confidence,contains_affirming_device,confidence_normalized
Global warming is a hoax.,0,0,1.0,False,0.0005035424209312514
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,1,0,0.95,False,0.00047836529988468877
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",0,0,1.0,True,0.0005035424209312514
Global warming is happening and it will be dangerous to human health and welfare.,1,1,0.95,False,0.00047836529988468877
Some icebergs are cute.,0,0,0.95,False,0.00047836529988468877
"Warmer-than-normal sea surface temperatures are a key player in the development of hurricanes such as Katrina and superstorm Sandy, which hit the U.S. east coast in 2011.",1,1,0.8,True,0.0004028339367450011
We will continue to rely in part on fossil fuels while we transition to a low-carbon economy .,0,0,0.8,False,0.0004028339367450011
The actual rise in sea levels measured only 1.2 millimeters instead of the previously accepted 1.6 to 1.9 millimeters.,0,0,0.8,False,0.0004028339367450011
Claims of global warming have been greatly exaggerated.,0,0,0.9,False,0.0004531881788381262
The Intergovernmental Panel on Climate Change should be clearer on how it draws conclusions from the body of research it assesses when gauging the impacts of global warming.,0,0,0.8,False,0.0004028339367450011
Evidence now leans against global warming resulting from human-related greenhouse gas emissions.,0,0,0.9,True,0.0004531881788381262
Flooding has been going on forever.,0,0,0.8,False,0.0004028339367450011
Simply reducing emissions will not sufficiently limit global warming.,0,1,0.8,False,0.0004028339367450011
Climate deniers blame global warming on aliens from outer space.,1,0,0.9,False,0.0004531881788381262
"Global warming is inevitably going to be, at best, managed .",1,1,0.8,False,0.0004028339367450011
"Some parts of the world the world, such as the coast of California, saw sea levels fall.",0,0,0.8,False,0.0004028339367450011
"If carbon dioxide emissions continue to rise beyond 2020, or even remain level, the temperature goals set in Paris become almost unattainable.",1,0,0.9,False,0.0004531881788381262
The study is one more example that you can get any answer you want when the thermometer data errors are larger than the global warming signal you are looking for.,0,0,0.9,False,0.0004531881788381262
Millions more people around the world are threatened by river floods in coming decades due to climate change.,1,1,0.95,False,0.00047836529988468877
45 % of the general public view perceived global warming as caused by humans.,0,0,0.8,False,0.0004028339367450011
Two billion people may be displaced by rising sea levels by the turn of the next century.,1,1,0.9,False,0.0004531881788381262
Global warming is real and threatening.,1,1,0.95,False,0.00047836529988468877
There is a danger that we can get used to global warming.,1,1,0.8,False,0.0004028339367450011
Doing so will be central for getting global warming under control.,1,1,0.9,False,0.0004531881788381262
Global sea-level rise is both undeniable and consequential.,1,1,0.9,False,0.0004531881788381262
Global warming isn’t happening.,0,0,1.0,False,0.0005035424209312514
Carbon dioxide will hit another record high in 201.,0,0,0.8,False,0.0004028339367450011
You now have a global marketplace for clean energy that is stable and accelerating.,0,0,0.8,False,0.0004028339367450011
"Fighting global warming, the stated purpose of AB32, is a loser with California voters.",0,0,0.9,False,0.0004531881788381262
Four in ten Americans (40%) have personally experienced the effects of global warming.,0,0,0.8,False,0.0004028339367450011
Fossil fuels will be used for the foreseeable future.,0,0,0.8,True,0.0004028339367450011
Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.,1,1,0.8,False,0.0004028339367450011
The global warming has become a new religion.,0,0,0.8,False,0.0004028339367450011
The global warming crowd can’t get any crazier.,0,0,0.9,False,0.0004531881788381262
Global warming is mainly caused by human activity.,1,1,0.9,False,0.0004531881788381262
Global warming is a hoax.,0,0,1.0,False,0.0005035424209312514
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,1,1,0.95,False,0.00047836529988468877
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",0,0,0.95,True,0.00047836529988468877
Global warming is happening and it will be dangerous to human health and welfare.,1,1,0.95,False,0.00047836529988468877
