Index,gold_label,gpt_label,Confidence,confidence_normalized
28,incitement,incitement,0.75,0.0001500438127933
29,white_grievance,stereotypical,0.75,0.0001500438127933
30,white_grievance,stereotypical,0.75,0.0001500438127933
31,incitement,threatening,0.75,0.0001500438127933
32,stereotypical,inferiority,0.85,0.0001700496544991
33,white_grievance,stereotypical,0.75,0.0001500438127933
34,threatening,incitement,0.85,0.0001700496544991
35,white_grievance,stereotypical,0.75,0.0001500438127933
36,incitement,stereotypical,0.75,0.0001500438127933
37,incitement,stereotypical,0.75,0.0001500438127933
38,incitement,incitement,0.85,0.0001700496544991
39,white_grievance,stereotypical,0.75,0.0001500438127933
40,incitement,white grievance,0.85,0.0001700496544991
41,incitement,white grievance,0.85,0.0001700496544991
42,incitement,stereotypical,0.75,0.0001500438127933
43,incitement,incitement,0.85,0.0001700496544991
44,white_grievance,stereotypical,0.75,0.0001500438127933
45,other,stereotypical,0.75,0.0001500438127933
46,inferiority,stereotypical,0.75,0.0001500438127933
47,stereotypical,stereotypical,0.75,0.0001500438127933
48,stereotypical,inferiority,0.85,0.0001700496544991
49,stereotypical,stereotypical,0.75,0.0001500438127933
50,stereotypical,stereotypical,0.75,0.0001500438127933
51,white_grievance,stereotypical,0.75,0.0001500438127933
52,irony,stereotypical,0.75,0.0001500438127933
53,stereotypical,stereotypical,0.75,0.0001500438127933
54,white_grievance,stereotypical,0.75,0.0001500438127933
55,white_grievance,stereotypical,0.75,0.0001500438127933
56,stereotypical,inferiority,0.85,0.0001700496544991
57,incitement,incitement,0.85,0.0001700496544991
58,threatening,threatening,0.85,0.0001700496544991
59,other,stereotypical,0.75,0.0001500438127933
60,incitement,stereotypical,0.75,0.0001500438127933
61,stereotypical,stereotypical,0.75,0.0001500438127933
62,threatening,stereotypical,0.75,0.0001500438127933
63,white_grievance,white grievance,0.85,0.0001700496544991
64,white_grievance,stereotypical,0.75,0.0001500438127933
65,incitement,stereotypical,0.75,0.0001500438127933
66,incitement,incitement,0.85,0.0001700496544991
67,incitement,stereotypical,0.75,0.0001500438127933
68,stereotypical,stereotypical,0.75,0.0001500438127933
69,incitement,stereotypical,0.75,0.0001500438127933
70,stereotypical,stereotypical,0.75,0.0001500438127933
71,white_grievance,stereotypical,0.75,0.0001500438127933
72,incitement,incitement,0.85,0.0001700496544991
73,stereotypical,stereotypical,0.75,0.0001500438127933
74,incitement,stereotypical,0.75,0.0001500438127933
75,white_grievance,stereotypical,0.75,0.0001500438127933
76,stereotypical,inferiority,0.85,0.0001700496544991
77,white_grievance,stereotypical,0.75,0.0001500438127933
78,white_grievance,inferiority,0.85,0.0001700496544991
79,stereotypical,stereotypical,0.75,0.0001500438127933
80,white_grievance,stereotypical,0.75,0.0001500438127933
81,white_grievance,stereotypical,0.75,0.0001500438127933
82,stereotypical,stereotypical,0.75,0.0001500438127933
83,stereotypical,incitement,0.75,0.0001500438127933
84,stereotypical,inferiority,0.85,0.0001700496544991
85,white_grievance,white grievance,0.85,0.0001700496544991
86,white_grievance,stereotypical,0.75,0.0001500438127933
87,incitement,incitement,0.85,0.0001700496544991
88,incitement,white grievance,0.85,0.0001700496544991
89,inferiority,stereotypical,0.75,0.0001500438127933
90,white_grievance,inferiority,0.85,0.0001700496544991
91,stereotypical,stereotypical,0.75,0.0001500438127933
92,incitement,stereotypical,0.75,0.0001500438127933
93,white_grievance,stereotypical,0.75,0.0001500438127933
94,white_grievance,incitement,0.85,0.0001700496544991
95,stereotypical,stereotypical,0.75,0.0001500438127933
96,stereotypical,inferiority,0.85,0.0001700496544991
97,incitement,white grievance,0.85,0.0001700496544991
98,inferiority,inferiority,0.85,0.0001700496544991
99,white_grievance,white grievance,0.85,0.0001700496544991
100,white_grievance,stereotypical,0.75,0.0001500438127933
101,stereotypical,stereotypical,0.75,0.0001500438127933
102,other,stereotypical,0.75,0.0001500438127933
103,stereotypical,stereotypical,0.75,0.0001500438127933
104,inferiority,stereotypical,0.75,0.0001500438127933
105,white_grievance,stereotypical,0.75,0.0001500438127933
106,other,stereotypical,0.75,0.0001500438127933
107,other,stereotypical,0.75,0.0001500438127933
108,stereotypical,stereotypical,0.75,0.0001500438127933
109,incitement,stereotypical,0.75,0.0001500438127933
110,incitement,stereotypical,0.75,0.0001500438127933
111,incitement,incitement,0.85,0.0001700496544991
112,stereotypical,stereotypical,0.75,0.0001500438127933
113,white_grievance,stereotypical,0.75,0.0001500438127933
114,stereotypical,stereotypical,0.75,0.0001500438127933
115,white_grievance,stereotypical,0.75,0.0001500438127933
116,stereotypical,stereotypical,0.75,0.0001500438127933
117,stereotypical,threatening,0.85,0.0001700496544991
118,stereotypical,stereotypical,0.75,0.0001500438127933
119,stereotypical,incitement,0.85,0.0001700496544991
120,stereotypical,stereotypical,0.75,0.0001500438127933
121,white_grievance,white grievance,0.85,0.0001700496544991
122,stereotypical,inferiority,0.85,0.0001700496544991
123,stereotypical,stereotypical,0.75,0.0001500438127933
124,incitement,white grievance,0.85,0.0001700496544991
125,white_grievance,stereotypical,0.75,0.0001500438127933
126,white_grievance,incitement,0.85,0.0001700496544991
127,incitement,stereotypical,0.75,0.0001500438127933
128,incitement,white grievance,0.85,0.0001700496544991
129,stereotypical,threatening,0.85,0.0001700496544991
130,white_grievance,stereotypical,0.75,0.0001500438127933
131,stereotypical,stereotypical,0.75,0.0001500438127933
132,irony,stereotypical,0.75,0.0001500438127933
133,inferiority,stereotypical,0.75,0.0001500438127933
134,stereotypical,stereotypical,0.75,0.0001500438127933
135,stereotypical,stereotypical,0.75,0.0001500438127933
136,irony,stereotypical,0.75,0.0001500438127933
137,incitement,stereotypical,0.75,0.0001500438127933
138,white_grievance,white grievance,0.85,0.0001700496544991
139,white_grievance,threatening,0.85,0.0001700496544991
140,white_grievance,stereotypical,0.75,0.0001500438127933
141,incitement,stereotypical,0.75,0.0001500438127933
142,white_grievance,stereotypical,0.75,0.0001500438127933
143,white_grievance,stereotypical,0.75,0.0001500438127933
144,incitement,stereotypical,0.75,0.0001500438127933
145,incitement,stereotypical,0.75,0.0001500438127933
146,white_grievance,white grievance,0.85,0.0001700496544991
147,white_grievance,white grievance,0.85,0.0001700496544991
148,stereotypical,stereotypical,0.75,0.0001500438127933
149,stereotypical,stereotypical,0.75,0.0001500438127933
150,incitement,inferiority,0.85,0.0001700496544991
